
# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 25397468

ա	85165
Ա	545644
Ա.Ա	354
Ա.Անանյանի	236
Ա.Բ.Գ	236
Ա.Դ	157
Ա.Ի	511
Ա.Կ	157
Ա.Հ	5079
Ա.ՀԱՐՈՒԹՅՈՒՆՅԱՆ	3307
ա.մ	157
Ա.Մ	314
Ա.Ս	196
Ա.Սպենդիարյանի	196
Ա1	23230
ԱԱ	5787
ԱԱԲ	196
ԱԱԳ	3740
ԱԱԽ	12717
Աախեն	196
Աախենում	196
ԱԱԾ	12796
ԱԱԾԱ	236
ԱԱԿ	393
ԱԱՀ	11497
ԱԱՀՀԻ	314
ԱԱՀՈւ	236
ԱԱՃ	354
ԱԱՄԿ	196
ԱԱՆ	6614
ԱԱՆԳ	275
ԱԱՊ	4213
Աարոն	236
Աարուսի	157
Աարսեթը	393
Աարսեթի	196
Աբ	275
ԱԲ	275
Աբադան	157
Աբադը	236
Աբադիի	433
Աբադիին	196
Աբադին	787
Աբադոյի	196
Աբադոն	196
Աբալյանը	157
Աբալյանների	157
Աբակայը	157
Աբաղյանը	393
Աբամելիք	196
Աբանամատ	196
Աբաշիձե	433
Աբաշիձեի	5276
ԱԲԱՇԻՁԵԻ	236
Աբաշիձեին	2047
ԱԲԱՇԻՁԵԻՆ	236
Աբաշիձեն	7441
ԱԲԱՇԻՁԵՆ	354
Աբաջյան	748
Աբաջյանը	2874
Աբաջյանի	1259
Աբաջյանին	551
Աբաջյանն	196
Աբաս	2244
Աբասալի	157
Աբասը	590
Աբասի	551
Աբասյանը	236
Աբասովան	157
Աբասովը	1811
Աբասովի	905
Աբասովին	236
աբար	236
աբբա	236
աբբահայր	1299
աբբահայրը	472
աբբահոր	511
աբբայության	393
աբբայությունում	157
Աբբաս	1732
ԱԲԲԱՍ	157
Աբբասը	1811
Աբբասի	1496
Աբբասին	629
Աբբասյան	236
Աբբասն	393
Աբբասովը	748
Աբբասովի	314
ԱԲԳ	157
Աբգար	7953
ԱԲԳԱՐ	393
Աբգարեան	196
Աբգարեանի	157
Աբգարը	1417
Աբգարի	1889
Աբգարին	511
Աբգարյան	669
Աբգարյանը	5118
Աբգարյանի	3425
