la	49434
de	37190
en	12436
kaj	12211
al	9389
aŭ	8463
el	7185
por	6565
estas	6064
kiu	5950
ne	5660
kun	5617
per	5139
mi	3605
oni	3233
li	3067
ke	2961
sur	2868
kiel	2664
tiu	2546
sin	2453
f	2430
unu	2229
a	2156
pri	2152
vi	2037
iu	2031
z	2000
k	1954
pli	1887
ĉe	1887
n	1880
b	1855
g	1739
io	1692
da	1637
e	1567
tr	1551
du	1549
ĝi	1545
estis	1511
uzata	1449
ili	1382
povas	1347
ŝi	1310
inter	1290
kiuj	1248
nur	1223
plej	1220
tre	1216
oj	1194
ks	1191
ni	1180
sed	1142
fari	1132
sian	1125
rilata	1124
ĉiu	1083
tio	1082
pro	1080
kies	1060
i	1050
sia	1048
tia	1034
pp	1004
parto	984
laŭ	966
se	963
homo	923
kiun	892
ago	856
granda	852
mia	832
ol	831
ĝis	819
alia	802
havas	800
nomo	797
ion	790
esti	789
ĉiuj	787
antaŭ	780
kontraŭ	777
ĉi	771
ĝin	761
je	749
ekz	748
tiel	740
ofte	722
post	717
sub	700
si	697
ntr	695
sen	682
precipe	677
lia	651
kio	651
folioj	650
dum	638
ktp	623
kie	619
kiam	614
ĉ	614
devas	611
floroj	601
havanta	580
loko	580
konsistanta	574
s	551
tempo	542
formo	538
via	536
tute	533
min	528
akvo	517
lingvo	517
ĉu	513
malpli	500
dio	498
iun	495
ordo	493
tiuj	480
eĉ	478
rim	476
kelkaj	473
azio	472
jam	471
diversaj	470
nun	460
vin	459
lin	457
c	453
tero	449
l	448
mem	447
pluraj	444
u	443
eŭropo	439
malgranda	438
stato	432
aliaj	419
kion	416
substanco	411
homoj	410
herboj	408
urbo	407
nia	402
ilin	399
super	398
longa	396
multaj	396
persono	395
tro	390
aparato	388
tra	388
ĝenerale	388
ĉiam	388
tuta	386
ankaŭ	382
tri	381
siajn	380
ankoraŭ	378
j	377
siaj	377
ies	374
ties	373
vd	373
korpo	372
ia	371
o	370
objekto	370
difinita	359
maniero	358
afero	357
tiun	355
vivo	349
tuto	349
havi	347
domo	346
m	344
eco	342
kapo	341
grandaj	340
sama	340
analoge	338
multe	335
iom	333
vortoj	332
tie	330
